NPA,data_year,Bachelors_Degree,Early_Care_Proximity,High_School_Diploma,Highschool_Graduation_Rate,Library_Card_Prevalence,Neighborhood_School_Attendance,Proficiency_Elementary_School,Proficiency_High_School,Proficiency_Middle_School,School_Age_Proximity,Student_Absenteeism
2.0,2011.0,,100.0,,,,45.54,,,,99.91,
2.0,2013.0,,61.42,,61.0,16.34,49.34,,,,99.91,8.81
2.0,2014.0,,,,75.0,,48.96,39.47,63.63,45.83,,11.5
2.0,2015.0,,61.35,,83.0,19.99,47.5,34.14,,41.67,99.91,11.51
2.0,2016.0,,,,86.0,18.17,46.1,37.5,55.6,28.2,,15.0
2.0,2017.0,,61.45,,90.0,18.06,50.0,55.9,50.0,37.8,99.91,12.0
2.0,2018.0,,,,90.0,18.19,73.33,32.21,27.78,16.54,,12.25
2.0,2019.0,,,,66.67,,72.19,33.33,10.71,20.13,,19.01
2.0,2020.0,44.73,60.54,87.9,,,,,,,99.26,
3.0,2011.0,,79.66,,,,69.9,,,,74.82,
3.0,2013.0,,69.66,,88.0,13.62,76.39,,,,76.32,5.55
3.0,2014.0,,,,91.0,,74.94,86.36,66.66,77.94,,5.67
3.0,2015.0,,69.8,,100.0,16.86,76.84,84.21,65.0,79.52,69.78,5.72
3.0,2016.0,,,,100.0,13.65,79.6,87.31,62.5,85.0,,6.0
3.0,2017.0,,77.78,,95.0,12.11,82.0,86.1,68.2,82.3,72.84,5.0
3.0,2018.0,,,,89.47,13.54,81.4,86.14,94.59,76.11,,5.46
3.0,2019.0,,,,93.94,,77.49,87.65,80.0,84.68,,4.47
3.0,2020.0,81.94,88.58,97.43,,,,,,,81.51,
4.0,2011.0,,43.64,,,,84.11,,,,40.4,
4.0,2013.0,,38.81,,100.0,15.96,86.18,,,,40.3,2.43
4.0,2014.0,,,,100.0,,86.11,82.6,,86.2,,3.7
4.0,2015.0,,41.34,,100.0,19.39,81.82,86.36,83.33,82.86,42.82,0.9
4.0,2016.0,,,,100.0,21.39,79.5,96.15,66.7,85.7,,2.0
4.0,2017.0,,39.95,,92.0,18.93,85.0,96.6,,81.8,41.42,4.0
4.0,2018.0,,,,85.0,19.29,88.12,63.29,71.43,68.09,,3.97
4.0,2019.0,,,,100.0,,90.6,75.61,72.73,64.15,,5.96
4.0,2020.0,89.75,39.9,100.0,,,,,,,41.38,
5.0,2011.0,,100.0,,,,69.7,,,,100.0,
5.0,2013.0,,100.0,,80.0,9.44,74.68,,,,100.0,22.15
5.0,2014.0,,,,50.0,,73.17,16.66,11.11,12.9,,21.42
5.0,2015.0,,100.0,,100.0,18.93,69.23,16.66,16.67,6.67,100.0,23.52
5.0,2016.0,,,,80.0,17.72,70.0,20.0,50.0,17.7,,17.0
5.0,2017.0,,99.07,,77.0,19.56,64.0,31.4,,24.3,99.07,24.0
5.0,2018.0,,,,,18.01,73.03,40.0,,14.29,,36.78
5.0,2019.0,,,,,,65.62,25.93,,13.33,,24.73
5.0,2020.0,4.94,99.42,81.1,,,,,,,99.42,
6.0,2011.0,,100.0,,,,66.56,,,,100.0,
6.0,2013.0,,100.0,,56.0,11.83,74.1,,,,100.0,15.73
6.0,2014.0,,,,62.0,,65.33,25.0,25.0,17.85,,20.74
6.0,2015.0,,100.0,,61.0,18.04,65.94,17.74,20.0,20.75,100.0,19.52
6.0,2016.0,,,,72.0,18.89,67.4,21.52,28.6,20.3,,21.0
6.0,2017.0,,100.0,,88.0,18.05,61.0,28.8,31.3,22.6,100.0,20.0
6.0,2018.0,,,,76.19,16.8,60.31,22.92,23.08,16.0,,25.23
6.0,2019.0,,,,94.74,,64.21,26.32,,18.97,,23.05
6.0,2020.0,13.62,97.36,73.47,,,,,,,97.36,
7.0,2011.0,,26.9,,,,97.73,,,,84.52,
7.0,2013.0,,0.0,,83.0,11.37,97.75,,,,84.4,1.12
7.0,2014.0,,,,100.0,,97.67,90.0,,100.0,,4.65
7.0,2015.0,,0.0,,100.0,14.96,97.18,94.44,,100.0,84.51,1.4
7.0,2016.0,,,,,10.7,97.3,90.91,,100.0,,1.0
7.0,2017.0,,0.0,,100.0,8.42,99.0,,,94.4,85.15,1.0
7.0,2018.0,,,,100.0,10.68,97.0,,,71.43,,2.0
7.0,2019.0,,,,,,92.86,90.91,,,,2.04
7.0,2020.0,91.14,0.0,100.0,,,,,,,85.13,
8.0,2011.0,,47.84,,,,31.08,,,,22.09,
8.0,2013.0,,20.31,,,15.12,37.5,,,,20.12,4.16
8.0,2014.0,,,,,,33.33,81.81,,71.42,,10.76
8.0,2015.0,,20.19,,,14.05,38.1,79.31,,83.33,20.19,9.09
8.0,2016.0,,,,,10.71,32.9,74.07,,70.6,,8.0
8.0,2017.0,,20.89,,,8.88,41.0,81.3,,76.2,20.21,11.0
8.0,2018.0,,,,,10.64,36.62,71.43,,75.0,,4.23
8.0,2019.0,,,,,,55.41,65.22,,66.67,,5.41
8.0,2020.0,65.58,18.97,96.34,,,,,,,18.27,
9.0,2011.0,,100.0,,,,35.29,,,,100.0,
9.0,2013.0,,100.0,,,14.92,27.91,,,,100.0,9.3
9.0,2014.0,,,,,,13.64,60.0,,16.66,,12.0
9.0,2015.0,,100.0,,,17.46,30.43,40.0,,28.57,100.0,20.68
9.0,2016.0,,,,,15.81,32.6,40.0,,25.0,,4.0
9.0,2017.0,,100.0,,,16.08,18.0,,,,100.0,11.0
9.0,2018.0,,,,,18.17,31.58,44.44,,,,17.86
9.0,2019.0,,,,,,32.61,35.71,,,,28.26
9.0,2020.0,79.09,100.0,100.0,,,,,,,100.0,
10.0,2011.0,,100.0,,,,53.24,,,,100.0,
10.0,2013.0,,100.0,,59.0,12.75,76.73,,,,100.0,13.01
10.0,2014.0,,,,56.0,,70.8,26.04,6.66,29.78,,20.5
10.0,2015.0,,100.0,,61.0,16.71,70.77,24.17,22.22,30.77,100.0,19.3
10.0,2016.0,,,,71.0,15.03,66.4,31.31,33.3,27.3,,17.0
10.0,2017.0,,100.0,,88.0,15.65,71.0,34.3,18.8,20.3,100.0,15.0
10.0,2018.0,,,,,15.73,66.87,43.68,30.0,24.14,,17.9
10.0,2019.0,,,,,,72.13,36.47,,28.33,,14.62
10.0,2020.0,33.97,100.0,76.93,,,,,,,100.0,
11.0,2011.0,,88.59,,,,72.22,,,,82.13,
11.0,2013.0,,82.01,,100.0,15.61,75.0,,,,82.34,3.52
11.0,2014.0,,,,100.0,,69.9,87.14,100.0,82.45,,3.65
11.0,2015.0,,82.12,,100.0,20.36,69.81,88.04,85.71,95.74,82.37,1.87
11.0,2016.0,,,,100.0,21.65,72.9,88.17,92.9,88.7,,3.0
