NPA,data_year,Adopt_a_Stream,Adopt_a_Street,Commuters_Driving_Alone,Electricity_Consumption,Impervious_Surface,Natural_Gas_Consumption,Recycling_Participation,Residential_Tree_Canopy,Solid_Waste,Solid_Waste_Diversion_Rate,Tree_Canopy,Water_Consumption
2,2010,,,,,,,,,,,,129.59
2,2011,0,,,,23.34,,,,,,,
2,2012,,,,991,,,,68.7,,,56.15,
2,2013,0,,,1078,23.1,43,55.7,,7.21,40.18,,118.24
2,2014,,,,,,,,,,,,111.57
2,2015,16.38,,,,22.13,,,,,,,
2,2016,100,,,,22.16,,,,,,,113.36
2,2017,15.79,28.17,,,22.41,,,,,,,
2,2018,,,,,22.41,,,,,,,118.27
2,2019,,,,,22.6,,,,,,,114
2,2020,,,85.04,,,,27.36,,6.25,32.6,,109
2,2021,100,39.17,,,23.1,,40.15,,8.07,33.46,,
2,2022,100,39.16,,,23.31,,,,,,,
3,2010,,,,,,,,,,,,169.01
3,2011,58.4,,,,36.94,,,,,,,
3,2012,,,,973,,,,60.7,,,41.97,
3,2013,94.56,,,1012,36.94,49,42.62,,6.8,41.07,,158.98
3,2014,,,,,,,,,,,,160.8
3,2015,92.01,,,,37.29,,,,,,,
3,2016,100,,,,37.89,,,,,,,175.75
3,2017,100,52.24,,,38.58,,,,,,,
3,2018,,,,,38.76,,,,,,,163.33
3,2019,,,,,38.95,,,,,,,173
3,2020,,,79.84,,,,73.14,,7.13,42.42,,167
3,2021,100,54.54,,,39.22,,69.86,,9.17,34.7,,
3,2022,100,57.18,,,38.96,,,,,,,
4,2010,,,,,,,,,,,,281.07
4,2011,99.68,,,,19.74,,,,,,,
4,2012,,,,1929,,,,68.4,,,65.98,
4,2013,100,,,1858,19.74,81,47.64,,9.23,40.8,,246.71
4,2014,,,,,,,,,,,,232.74
4,2015,100,,,,19.74,,,,,,,
4,2016,100,,,,20.05,,,,,,,267.05
4,2017,0,8.77,,,20.65,,,,,,,
4,2018,,,,,20.96,,,,,,,248.13
4,2019,,,,,20.93,,,,,,,260
4,2020,,,96.39,,,,78.4,,9.71,41.11,,241
4,2021,0,8.77,,,21.56,,72.98,,10.2,37.01,,
4,2022,0,14.03,,,21.5,,,,,,,
5,2010,,,,,,,,,,,,115.15
5,2011,0,,,,22.14,,,,,,,
5,2012,,,,866,,,,56,,,42.17,
5,2013,0,,,822,25.73,53,36.12,,7.4,23.41,,113.42
5,2014,,,,,,,,,,,,99.69
5,2015,0,,,,22.14,,,,,,,
5,2016,0,,,,22.14,,,,,,,124.1
5,2017,0,25.13,,,21.54,,,,,,,
5,2018,,,,,21.54,,,,,,,123.84
5,2019,,,,,21.91,,,,,,,123
5,2020,,,100,,,,41.27,,8.02,19.48,,131
5,2021,100,25.13,,,22.1,,36.27,,9.72,21.49,,
5,2022,100,25.12,,,22.38,,,,,,,
6,2010,,,,,,,,,,,,129.22
6,2011,,,,,25.54,,,,,,,
6,2012,,,,1011,,,,63.7,,,43.71,
6,2013,,,,1020,25.05,51,31.51,,7.47,29.61,,126.61
6,2014,,,,,,,,,,,,107.18
6,2015,,,,,25.05,,,,,,,
6,2016,,,,,25.05,,,,,,,130.66
6,2017,,25.08,,,25.05,,,,,,,
6,2018,,,,,24.8,,,,,,,117.71
6,2019,,,,,25.03,,,,,,,109
6,2020,,,55.58,,,,43.14,,7.7,23.76,,112
6,2021,,25.09,,,23.51,,40.85,,9.71,22.61,,
6,2022,,39.65,,,24.74,,,,,,,
7,2010,,,,,,,,,,,,396.39
7,2011,98.74,,,,26.1,,,,,,,
7,2012,,,,3164,,,,64.3,,,55.74,
7,2013,100,,,3161,26.46,113,50.94,,9.59,42.8,,314.19
7,2014,,,,,,,,,,,,312.09
7,2015,100,,,,26.46,,,,,,,
7,2016,100,,,,26.83,,,,,,,333.42
7,2017,100,28.06,,,26.83,,,,,,,
7,2018,,,,,26.65,,,,,,,301.09
7,2019,,,,,26.85,,,,,,,314
7,2020,,,100,,,,77.78,,9.97,36.26,,289
7,2021,99.74,28.06,,,28.03,,74.05,,9.72,38.92,,
7,2022,99.74,46.34,,,28.18,,,,,,,
8,2010,,,,,,,,,,,,149.28
8,2011,37.42,,,,14.58,,,,,,,
8,2012,,,,908,,,,67.4,,,59.78,
8,2013,63.37,,,884,14.42,50,60.16,,8.05,46.39,,130.89
8,2014,,,,,,,,,,,,124.33
8,2015,76.19,,,,14.58,,,,,,,
8,2016,80.67,,,,14.58,,,,,,,131.75
8,2017,100,27.99,,,14.58,,,,,,,
8,2018,,,,,14.92,,,,,,,123.51
8,2019,,,,,15.08,,,,,,,125
8,2020,,,95.16,,,,62.25,,6.57,29.08,,124
8,2021,100,28.81,,,15.96,,63.21,,8.35,29.52,,
8,2022,100,45.98,,,15.85,,,,,,,
9,2010,,,,,,,,,,,,106.9
9,2011,,,,,18.17,,,,,,,
9,2012,,,,935,,,,67.7,,,59.48,
9,2013,,,,836,18.17,40,39.73,,5.93,34.64,,93.73
9,2014,,,,,,,,,,,,87.85
9,2015,,,,,18.17,,,,,,,
9,2016,,,,,20.31,,,,,,,98.86
9,2017,,12.03,,,21.38,,,,,,,
9,2018,,,,,22.44,,,,,,,103.98
9,2019,,,,,23.01,,,,,,,109
9,2020,,,79.06,,,,67.01,,8.38,61.42,,115
9,2021,,37.78,,,24.11,,65.33,,8.56,33.19,,
9,2022,,38.34,,,24.72,,,,,,,
10,2010,,,,,,,,,,,,113.99
10,2011,,,,,22.31,,,,,,,
10,2012,,,,909,,,,63.5,,,48.9,
10,2013,,,,836,21.95,45,38.16,,7.88,29.34,,106.21
10,2014,,,,,,,,,,,,98.86
10,2015,,,,,22.13,,,,,,,
10,2016,,,,,22.31,,,,,,,105.68
10,2017,,14.35,,,22.68,,,,,,,
10,2018,,,,,22.68,,,,,,,101
10,2019,,,,,22.82,,,,,,,94
10,2020,,,80.91,,,,49.39,,7.66,43.01,,97
10,2021,100,26.8,,,23.31,,48.58,,9.17,25.59,,
10,2022,100,33.01,,,23.49,,,,,,,
11,2010,,,,,,,,,,,,177.66
11,2011,74.37,,,,25.68,,,,,,,
11,2012,,,,1033,,,,67.4,,,56,
11,2013,100,,,1003,27.84,49,73.24,,7.27,57.22,,164.64
11,2014,,,,,,,,,,,,168.46
11,2015,77.47,,,,27.25,,,,,,,
11,2016,100,,,,27.64,,,,,,,181.37
11,2017,100,51.82,,,28.03,,,,,,,
11,2018,,,,,28.43,,,,,,,173.88
11,2019,,,,,28.74,,,,,,,171
11,2020,,,89.22,,,,77.59,,8.46,51.83,,165
11,2021,100,51.68,,,29.17,,71.26,,8.32,43.07,,
11,2022,100,51.69,,,29.17,,,,,,,
12,2011,0.39,,,,34,,,,,,,
12,2012,,,,914,,,,47,,,41.94,
12,2013,100,,,881,41.55,28,,,,,,
12,2015,100,,,,35.89,,,,,,,
12,2016,100,,,,35.26,,,,,,,
12,2017,100,0,,,35.26,,,,,,,
12,2018,,,,,35.26,,,,,,,
12,2019,,,,,35.32,,,,,,,
12,2020,,,62.85,,,,,,,,,
12,2021,100,9.17,,,35.32,,,,,,,
12,2022,100,9.37,,,33.99,,,,,,,
13,2010,,,,,,,,,,,,126.8
13,2011,,,,,34.1,,,,,,,
13,2012,,,,797,,,,65.7,,,46.44,
13,2013,,,,711,33.89,47,41.64,,7.04,38.81,,113.2
13,2014,,,,,,,,,,,,115.93
13,2015,,,,,34.32,,,,,,,
13,2016,,,,,34.32,,,,,,,108.57
13,2017,,20.44,,,34.32,,,,,,,
13,2018,,,,,34.76,,,,,,,105.33
13,2019,,,,,34.86,,,,,,,106
13,2020,,,85.64,,,,65.78,,7.6,39.86,,108
13,2021,100,20.44,,,34.81,,50.08,,8.39,27.71,,
13,2022,100,20.46,,,34.92,,,,,,,
14,2010,,,,,,,,,,,,144.01
14,2011,0,,,,21.09,,,,,,,
14,2012,,,,1040,,,,45.6,,,43.73,
14,2013,31.6,,,935,20.18,55,58.11,,5.24,30.06,,137.95
14,2014,,,,,,,,,,,,140.84
14,2015,32.25,,,,20.41,,,,,,,
14,2016,32,,,,20.41,,,,,,,135.6
14,2017,30,0,,,20.64,,,,,,,
