NPA,data_year,Foreclosures,Home_Ownership,Housing_Age,Housing_Density,Housing_Size,Housing_Violations,New_Residential,Rental_Costs,Rental_Houses,Residential_Demolitions,Residential_Occupancy,Residential_Renovation,Single_Family_Housing,Subsidized_Housing
2.0,2011.0,1.06,,64.0,2.63,1445.53,0.65,0.0,,,0.92,,2.43,47.0,
2.0,2012.0,,,,,,,0.0,,,,,2.67,,
2.0,2013.0,0.91,,66.0,2.63,1449.06,1.2,0.0,,26.43,0.0,,4.37,46.9,7.4
2.0,2014.0,,,,,,,0.48,,,,,4.13,,
2.0,2015.0,1.06,,68.0,2.62,1472.89,0.93,0.24,,26.43,1.85,,6.81,46.8,
2.0,2016.0,0.3,,69.0,2.63,1490.97,1.11,0.97,,28.71,1.85,,5.35,46.8,
2.0,2017.0,0.15,,70.0,2.63,1500.89,,1.21,,27.38,4.63,,5.1,46.71,7.41
2.0,2018.0,0.15,,70.0,2.64,1524.21,0.09,1.21,,25.54,3.69,,3.4,47.0,
2.0,2019.0,0.0,,,,,,12.4,,,,,4.37,,
2.0,2020.0,0.0,34.51,71.0,2.6,1623.0,0.94,1.7,998.0,24.75,2.81,12.53,5.1,46.2,
2.0,2021.0,0.0,,70.0,2.74,1623.0,0.71,3.4,,27.44,,,5.83,44.67,
2.0,2022.0,0.0,,70.0,2.75,1688.05,0.44,1.21,,,7.93,,,44.64,4.44
3.0,2011.0,0.73,,68.0,3.78,2032.53,1.26,1.73,,,2.06,,5.79,41.7,
3.0,2012.0,,,,,,,15.91,,,,,5.62,,
3.0,2013.0,0.51,,69.0,4.11,2088.0,0.42,3.37,,25.06,5.69,,8.13,37.84,9.95
3.0,2014.0,,,,,,,70.67,,,,,7.69,,
3.0,2015.0,0.12,,69.0,4.11,2145.25,0.17,34.6,,25.06,9.47,,9.42,37.71,
3.0,2016.0,0.18,,69.0,4.09,2177.03,0.34,39.18,,23.05,5.71,,9.42,37.89,
3.0,2017.0,0.0,,70.0,4.57,2260.64,,17.82,,21.65,4.92,,7.17,32.61,7.97
3.0,2018.0,0.0,,69.0,5.13,2267.21,0.27,113.66,,19.5,7.08,,8.47,29.66,
3.0,2019.0,0.0,,,,,,3.71,,,,,6.48,,
3.0,2020.0,0.03,44.49,72.0,6.61,2655.0,0.05,0.95,1576.0,20.3,1.57,11.91,6.66,21.21,
3.0,2021.0,0.03,,71.0,6.93,2613.0,0.02,0.77,,20.8,,,9.68,20.16,
3.0,2022.0,0.0,,72.0,7.36,2775.14,0.01,1.12,,,5.57,,,18.95,4.13
